key,file,width,height,transparent,display,margins,status,sha256,checks
ui/frame/school-row/abjuration,Source/Elements/Assets/UI/frame/school-row/abjuration.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,ddc32fb7a50599f482b4dbc2a7fefaa0fb331a9c051c07ab45c4b597b95cf5ad,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/school-row/conjuration,Source/Elements/Assets/UI/frame/school-row/conjuration.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,bdacf16d37e6eee3e46631667901bcf5e064bc1f0e669d30f89b00857beed603,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/school-row/divination,Source/Elements/Assets/UI/frame/school-row/divination.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,8a7f206ddcbd04914e96875f1a287313762420e16df3303956b3b18744a2b6eb,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/school-row/enchantment,Source/Elements/Assets/UI/frame/school-row/enchantment.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,a253c985e32f26edaacfd4fa64a22514f527a919d391155a81ae87ebdc705c3f,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/school-row/evocation,Source/Elements/Assets/UI/frame/school-row/evocation.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,1a6971589952e228f0cb53745ba14cb36c17fb3ddd3b3d388835522f5f3ac285,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/school-row/illusion,Source/Elements/Assets/UI/frame/school-row/illusion.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,639aad8072c188b2d3d8950976ec4728eec944f2f63ff4479395b8dff36d69a3,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/school-row/necromancy,Source/Elements/Assets/UI/frame/school-row/necromancy.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,0292c8a39e5e097d6852b8592569dbf41ef2cde1231bd04911fdd9ab32850ed4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/school-row/transmutation,Source/Elements/Assets/UI/frame/school-row/transmutation.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,e3d1922224d27505e2dc49c4a980931160c659b0f93a91f8834e9a87b7aaef35,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/frame/school-row/thaumaturgy,Source/Elements/Assets/UI/frame/school-row/thaumaturgy.png,512,96,True,nine-patch,"{'left': 96, 'top': 24, 'right': 48, 'bottom': 24}",produced,15bc2152844cb34f2713343fe9c8567db3b295eca9ab2c67e8eab21252557bc3,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/title-garnet,Source/Elements/Assets/UI/plate/title-garnet.png,768,120,True,nine-patch,"{'left': 160, 'top': 0, 'right': 160, 'bottom': 0}",produced,7d382307699f7a648d18523bd2d5d5484357c088df6247e7a8062348ca27e1a4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/title-black,Source/Elements/Assets/UI/plate/title-black.png,640,96,True,nine-patch,"{'left': 120, 'top': 0, 'right': 120, 'bottom': 0}",produced,6b9f68d15a1759ccd4cc2b0af7ab24c86318544bb2839fc6d628ac70cb841aeb,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/section-banner,Source/Elements/Assets/UI/plate/section-banner.png,512,56,True,nine-patch,"{'left': 64, 'top': 0, 'right': 64, 'bottom': 0}",produced,0cb69c28f47b736e97f328f990a830ed611f9aea98f6e4f0e279046e41ccc634,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/section-bar,Source/Elements/Assets/UI/plate/section-bar.png,1024,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 96, 'bottom': 0}",produced,528e17b98c555c38b144edf709ad7e59f71e52be5b2768ebdae3df319cf9f0fb,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/field-tag,Source/Elements/Assets/UI/plate/field-tag.png,192,40,True,nine-patch,"{'left': 16, 'top': 0, 'right': 40, 'bottom': 0}",produced,3f3fd5db989f764858a6d830980e5f9fcc1e5d81f4199f157dc21a794eb2e4f9,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/logo,Source/Elements/Assets/UI/plate/logo.png,1024,640,True,fixed,,produced,89cb37c7f62138db27c0b52be9b137edd73ad501e821b68c8ba220cd16f716bc,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/plate/quote,Source/Elements/Assets/UI/plate/quote.png,512,56,True,nine-patch,"{'left': 64, 'top': 0, 'right': 64, 'bottom': 0}",produced,9939f9353da2855c195ff029de425c437c8452f893cc92e01be87ebfb2ccb792,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/compass-bar,Source/Elements/Assets/UI/plate/compass-bar.png,768,48,True,nine-patch,"{'left': 96, 'top': 0, 'right': 96, 'bottom': 0}",produced,90c4b2978fa1222ca609e60d9222aad1dc8d0b8ea6f4aebc9576ed51146a14e4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/status-bar,Source/Elements/Assets/UI/plate/status-bar.png,512,48,True,nine-patch,"{'left': 24, 'top': 0, 'right': 64, 'bottom': 0}",produced,7c57cb99bb37419822f33ff99bf6e8633031594155a643452f701b23d8c7f760,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/plate/parchment-ribbon,Source/Elements/Assets/UI/plate/parchment-ribbon.png,512,48,True,nine-patch,"{'left': 64, 'top': 0, 'right': 64, 'bottom': 0}",produced,ff6240fc284b14cfff7b53f12e4a3f95d4288706a521d7b23b61aa1fc9791fc6,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/tab/ribbon/active,Source/Elements/Assets/UI/tab/ribbon/active.png,256,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,66f0e2f914fac0f5af4c3a2b7063ddf54da1c9df317d37fd82d93aa9a225a753,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/tab/ribbon/normal,Source/Elements/Assets/UI/tab/ribbon/normal.png,256,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,f2dbd0e8b3745245c453886baac2d912b9db9f574ec149d76c31b69fbda8f02d,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/tab/ribbon/disabled,Source/Elements/Assets/UI/tab/ribbon/disabled.png,256,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,3907f3f84c366d41e6e742b876077d4b55ca0d7f9c250fdb8b640cf7621847f4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/tab/segment/active,Source/Elements/Assets/UI/tab/segment/active.png,320,56,True,nine-patch,"{'left': 32, 'top': 0, 'right': 32, 'bottom': 0}",produced,088fe439691853c9a7c184b52c9ddac5a47bd0d9149822e7e80480ace55b556f,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/tab/segment/normal,Source/Elements/Assets/UI/tab/segment/normal.png,320,56,True,nine-patch,"{'left': 32, 'top': 0, 'right': 32, 'bottom': 0}",produced,b36dff64dc196d442637be97e3761f996ce8eca0a8caed59d3ca5f547e28ea7e,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/menu/normal,Source/Elements/Assets/UI/button/menu/normal.png,480,72,True,nine-patch,"{'left': 96, 'top': 0, 'right': 48, 'bottom': 0}",produced,1e19734a5c6f0c92d4eb763806555e6efbcd40c1297019a24d9268ef66b77805,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/menu/hover,Source/Elements/Assets/UI/button/menu/hover.png,480,72,True,nine-patch,"{'left': 96, 'top': 0, 'right': 48, 'bottom': 0}",produced,7018e646c01d9786aed2cd9a10fd89e8c9d041d7fef3fabbf0874038230c7d73,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/menu/active,Source/Elements/Assets/UI/button/menu/active.png,480,72,True,nine-patch,"{'left': 96, 'top': 0, 'right': 48, 'bottom': 0}",produced,a0c5ce92fbbdc07e7dcfbfe62b5d146fce6c6a19559d8d31566c6daf3cfd451a,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/menu/disabled,Source/Elements/Assets/UI/button/menu/disabled.png,480,72,True,nine-patch,"{'left': 96, 'top': 0, 'right': 48, 'bottom': 0}",produced,1345927be3799e5e7978f8d897a5e7af51f75ff75786e326fe14b6650fafe48b,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/primary/normal,Source/Elements/Assets/UI/button/primary/normal.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,a4c21bb259699b9b765e5ed35a1d53de4ef62949fee17e596e5d3d9dae57a7d6,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/primary/hover,Source/Elements/Assets/UI/button/primary/hover.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,9451285a834eac3df15773a898f98d8a8464544fbb393e028ba4b1ff4475aabf,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/primary/pressed,Source/Elements/Assets/UI/button/primary/pressed.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,0cf1aabaeef5024b3b0de769be682549e66a3d534612f62a10b094ab32a0acb5,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/primary/disabled,Source/Elements/Assets/UI/button/primary/disabled.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,2c1b9b1316b94849294040ad0688fb27c77ab73f8c4b78518295a07de876c1c4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/secondary/normal,Source/Elements/Assets/UI/button/secondary/normal.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,2b45ea1a76aae458f10f55820a80311eb18a6392bc29924ffb515dbe631681a7,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/secondary/hover,Source/Elements/Assets/UI/button/secondary/hover.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,34c9f9a525be297deb5a9911952634a89c90b06ef1a976a5361fb9fb4b71ef34,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/secondary/pressed,Source/Elements/Assets/UI/button/secondary/pressed.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,50865bef496812406059b12e9bef71564bf876e95268ebf72e577c063197e422,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/secondary/disabled,Source/Elements/Assets/UI/button/secondary/disabled.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,76e8e02ca1a09e3f7a4c766d6fec6684d6bf8c755dc0bcf71bcdc64b1e630978,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/apply/normal,Source/Elements/Assets/UI/button/apply/normal.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,8a1ca3f4eefea2367d6e6d8c886b12249e6b517bec3b7203c6014a2bee1fa470,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/apply/hover,Source/Elements/Assets/UI/button/apply/hover.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,2b0fb02a8d69ce6cf3864c43d44deb97f020480a33a44133fee195a35c596b28,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/apply/pressed,Source/Elements/Assets/UI/button/apply/pressed.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,5f683f3d1227c489a835ab921d5436b60b02d5d928bfceaa671b00fe9d390cea,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/apply/disabled,Source/Elements/Assets/UI/button/apply/disabled.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,c057c13cd603a7445ed20f35a242cdcf891ce7f599ca493f0acfb1ae415e59e2,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/cancel/normal,Source/Elements/Assets/UI/button/cancel/normal.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,4b0e8cc6b13d765b5e7b2f721ae8a4128708f7e64e6c1b6fcffa5f2062928325,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/cancel/hover,Source/Elements/Assets/UI/button/cancel/hover.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,ab1aac0c84a7858bc76e57ea8a1355a375dd46c3e630a91ae39972e82742d572,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/cancel/pressed,Source/Elements/Assets/UI/button/cancel/pressed.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,40d923bfd29c8b57c369a3c00149948fb2dd957e850ecd2cd481c3900c0dbb44,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/cancel/disabled,Source/Elements/Assets/UI/button/cancel/disabled.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,2c769f5958234f2c2bb295a77d05e76c8efd63978a3cc413ea3e8691cbcfd8b4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/default/normal,Source/Elements/Assets/UI/button/default/normal.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,bb2ae2a9dd7072dfec46b85e3fc4e968a0afe5aff650d948ad620be623586756,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/default/hover,Source/Elements/Assets/UI/button/default/hover.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,44b010478b51520060adfbe25c86ba8ca56845cce32188b963f9d5338fb49873,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/default/pressed,Source/Elements/Assets/UI/button/default/pressed.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,78a0449913e87231dfefaacdb37440b27edb3e6e96e551e300cd26800e4f8d21,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/default/disabled,Source/Elements/Assets/UI/button/default/disabled.png,280,56,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,a23ef774edacc1972731c7e67b45a10b36100ec736c8a067b3134656d6df99ab,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/back/normal,Source/Elements/Assets/UI/button/back/normal.png,320,72,True,nine-patch,"{'left': 96, 'top': 0, 'right': 48, 'bottom': 0}",produced,7528dc368e078c1dbf7d228ff0c9e269a75790c3b6094ff6524b83b224be4aa4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/back/hover,Source/Elements/Assets/UI/button/back/hover.png,320,72,True,nine-patch,"{'left': 96, 'top': 0, 'right': 48, 'bottom': 0}",produced,10ce1ba7ead4482c53060ff3b824130fdea56c1792bbf84b9f82ff925da6eedf,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/back/pressed,Source/Elements/Assets/UI/button/back/pressed.png,320,72,True,nine-patch,"{'left': 96, 'top': 0, 'right': 48, 'bottom': 0}",produced,521655bc6f0a91aea2ecf431dc3b802c29e18eeac8577beb2bcf0d1918f8b62f,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/back/disabled,Source/Elements/Assets/UI/button/back/disabled.png,320,72,True,nine-patch,"{'left': 96, 'top': 0, 'right': 48, 'bottom': 0}",produced,9704e572971c8bd9f4dd8d89d3bd4c9347d18773a5f029e3b9f20abd4fe150cc,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/round/normal,Source/Elements/Assets/UI/button/round/normal.png,64,64,True,fixed,,produced,164d00ce6d86df79b09875f0661bf80fb1aa1e0c153a3f309321b2ef1d00fbad,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/button/round/hover,Source/Elements/Assets/UI/button/round/hover.png,64,64,True,fixed,,produced,eba1d7f320507fc16a89642ddd2a4b7c09da9f04dcc7f56e456d505584e01bb8,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/button/round/pressed,Source/Elements/Assets/UI/button/round/pressed.png,64,64,True,fixed,,produced,d2a3df5a13b3c855f6f07eb31de147ccc5b966c006f5445e0705fea5afbf784f,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/button/round/disabled,Source/Elements/Assets/UI/button/round/disabled.png,64,64,True,fixed,,produced,9ba0a65366e9656b921d5787959c8c93c87ab3a1a05ac19c431277b4dd38862a,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/button/chip/normal,Source/Elements/Assets/UI/button/chip/normal.png,192,40,True,nine-patch,"{'left': 24, 'top': 0, 'right': 24, 'bottom': 0}",produced,d56866b2f20e443d93cf68d20c96aa9983d37f792080881db3a55250279f2168,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/chip/selected,Source/Elements/Assets/UI/button/chip/selected.png,192,40,True,nine-patch,"{'left': 24, 'top': 0, 'right': 24, 'bottom': 0}",produced,00f5c197a228ab12a5c615cbf5e0cc7f219323c4ca12bc3b29998c955288ad9d,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/button/chip/disabled,Source/Elements/Assets/UI/button/chip/disabled.png,192,40,True,nine-patch,"{'left': 24, 'top': 0, 'right': 24, 'bottom': 0}",produced,1d0144b12613d980514d60a88136e6f4eadb1eaf7b2afed6a89a724db6c42a9b,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/control/checkbox/checked,Source/Elements/Assets/UI/control/checkbox/checked.png,48,48,True,fixed,,produced,b6b85bcd02138a6573613fda24210424e750e919b337d546398ae07c1466622d,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/control/checkbox/unchecked,Source/Elements/Assets/UI/control/checkbox/unchecked.png,48,48,True,fixed,,produced,757c24b8b5c5fcd1a27f8f0c1b63fcb64168591c184b00b5cf76ffe9dea2d41e,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/control/checkbox/disabled,Source/Elements/Assets/UI/control/checkbox/disabled.png,48,48,True,fixed,,produced,3aeea59b237d9d7b15c43f9d9df80c75d9303c7155b4cbf8cff99ae3e2b2e867,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/control/slider-track,Source/Elements/Assets/UI/control/slider-track.png,256,24,True,nine-patch,"{'left': 24, 'top': 0, 'right': 24, 'bottom': 0}",produced,3d7129d9ff3e180e5f989111b84e50c121db47776300d99ca7dea225f12d46ee,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/control/slider-handle/normal,Source/Elements/Assets/UI/control/slider-handle/normal.png,40,40,True,fixed,,produced,a3b06e7b3afe6f4897f3922f888da8259dd4c2f13f74d7278c338737f80c475a,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/control/slider-handle/hover,Source/Elements/Assets/UI/control/slider-handle/hover.png,40,40,True,fixed,,produced,7237453f6602786ad192f80beed68e489c80e755df6e38e55dbf70c9773d7383,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/control/combo/normal,Source/Elements/Assets/UI/control/combo/normal.png,320,48,True,nine-patch,"{'left': 24, 'top': 0, 'right': 56, 'bottom': 0}",produced,72abe5d148986b1696134a1f1553395b25f9d549cb32840761ffdf53a7caf86f,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/control/combo/hover,Source/Elements/Assets/UI/control/combo/hover.png,320,48,True,nine-patch,"{'left': 24, 'top': 0, 'right': 56, 'bottom': 0}",produced,302a26651e32d83702b327b621554fe23ab2e1a9f1d554946d65c40f6a4c44ca,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/control/combo/open,Source/Elements/Assets/UI/control/combo/open.png,320,48,True,nine-patch,"{'left': 24, 'top': 0, 'right': 56, 'bottom': 0}",produced,540c167f699e0abfbb89d865f45ab49fc820ab706568bd7dcd446ccec4131b72,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/control/combo/disabled,Source/Elements/Assets/UI/control/combo/disabled.png,320,48,True,nine-patch,"{'left': 24, 'top': 0, 'right': 56, 'bottom': 0}",produced,22094ad394a763bb8f2cd22c225a04fa7102dc7fb6d133fce792d4a1036b8c3f,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/control/combo-popup,Source/Elements/Assets/UI/control/combo-popup.png,320,256,True,nine-patch,"{'left': 24, 'top': 16, 'right': 24, 'bottom': 24}",produced,a3b7a12d1b6c0c96352506c08dd9dc953ffe1fe7d4049126e0001c89a9894b0d,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/control/divider-gold,Source/Elements/Assets/UI/control/divider-gold.png,512,16,True,nine-patch,"{'left': 48, 'top': 0, 'right': 48, 'bottom': 0}",produced,23db8dd24e5e7f140154c80925a9ce652ae73d0eb06d58c89b96c1af15bdd4c4,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief', 'uniform_repeat_regions']"
ui/control/focus-fleuron,Source/Elements/Assets/UI/control/focus-fleuron.png,48,48,True,fixed,,produced,20bbd381579d4c4aaa6e75bee4348d2de641c545647fed523b80cf9628bddcbe,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/control/pip/empty,Source/Elements/Assets/UI/control/pip/empty.png,32,32,True,fixed,,produced,18b8f242e10da7db81d2d9f07baa7a5da54b4dfe859cf2784135951ff655d5be,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
ui/control/pip/filled,Source/Elements/Assets/UI/control/pip/filled.png,32,32,True,fixed,,produced,e2baaa00f43f72812211159724aca1cfab9b3bba723a47b624fe778f4879ae5c,"['PNG', 'exact_dimensions', 'alpha_presence_matches_brief']"
